stretch_upper_bound, avg_stretch, max_stretch
2, 1.0016502137317793, 2.0
3, 1.0100612598185723, 3.0
4, 1.0413393198930525, 4.0
5, 1.0985944854704233, 5.0
6, 1.1876552405191039, 6.0
7, 1.274280768840014, 7.0
8, 1.377636014958219, 8.0
9, 1.4699982965256224, 9.0
10, 1.5800822398848573, 10.0
11, 1.68219035971774, 11.0
12, 1.7954749360532873, 12.0
13, 1.8933092406865348, 13.0
14, 2.012968502872374, 14.0
15, 2.0994905742580334, 15.0
16, 2.1892533532201086, 16.0
17, 2.271803854064805, 17.0
18, 2.401159345418212, 18.0
19, 2.496724931063918, 19.0
20, 2.5738937330538403, 20.0
21, 2.6580460853501866, 21.0
22, 2.7644993943054303, 22.0
23, 2.8371226453575913, 23.0
24, 2.9379189172224627, 24.0
25, 3.004040182088812, 25.0
26, 3.0594963920173113, 26.0
27, 3.1478743485386844, 27.0
28, 3.244898191688156, 28.0
29, 3.336452371647013, 29.0
30, 3.4547408103968382, 30.0
